clade_name	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_22w	WT_M_14w	WT_M_22w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_22w	WT_M_14w	WT_M_14w	WT_M_22w	WT_M_14w	WT_M_14w	WT_M_22w	WT_M_14w	WT_M_22w	WT_M_14w	WT_F_14w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_14w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_14w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_14w	WT_F_14w	W_M_22w	W_M_22w	W_M_14w	W_M_14w	W_M_14w	W_M_22w	W_M_14w	W_M_22w	W_M_14w	W_M_14w	W_M_22w	W_M_14w	W_M_22w	W_M_14w	W_M_22w	W_M_22w	W_F_14w	W_F_14w	W_F_22w	W_F_14w	W_F_22w	W_F_14w	W_F_14w	W_F_22w	W_F_14w	W_F_22w	W_F_14w	W_F_22w	W_F_22w	W_F_14w	P_M_22w	P_M_14w	P_M_22w	P_M_14w	P_M_14w	P_M_22w	P_M_14w	P_M_14w	P_M_22w	P_M_22w	P_M_22w	P_M_14w	P_M_22w	P_M_14w	P_M_22w	P_F_22w	P_F_22w	P_F_14w	P_F_14w	P_F_22w	P_F_14w	P_F_14w	P_F_22w	P_F_14w	P_F_22w	P_F_14w	P_F_22w	P_F_14w	P_F_22w	P_F_22w	C_M_22w	C_M_22w	C_M_14w	C_M_22w	C_M_22w	C_M_14w	C_M_22w	C_M_22w	C_M_22w	C_M_22w	C_M_14w	C_M_22w	C_M_22w	C_M_14w	C_M_14w	C_M_14w	C_M_22w	C_M_22w	C_M_14w	C_M_22w	C_M_22w	C_M_14w	C_M_22w	C_M_22w	C_M_22w	C_F_22w	C_F_14w	C_F_22w	C_F_14w	C_F_22w	C_F_14w	C_F_14w	C_F_22w	C_F_14w	C_F_14w	C_F_22w	C_F_14w	C_F_22w	B_M_22w	B_M_14w	B_M_14w	B_M_22w	B_M_14w	B_M_22w	B_M_22w	B_M_22w	B_M_14w	B_M_22w	B_M_14w	B_M_14w	B_M_22w	B_M_14w	B_M_22w	B_F_22w	B_F_14w	B_F_22w	B_F_14w	B_F_22w	B_F_14w	B_F_22w	B_F_14w	B_F_14w	B_F_22w	B_F_14w	B_F_22w	B_F_14w	B_F_22w
Bacteroides_massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.24108	1.11382	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28872	0	1.15351	0	0	1.0392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.54112	0.0647	0	0.00689	1.41902	2.67202	0	0	0	0	0	0	0	0	0	0	0	4.04563	0	1.53711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_nordii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00251	0	0	0	0.02849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_ovatus	0	0	0	0.00206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.25937	0	0	0	0	0	0	0	0	0	0	0	0.75401	0.42704	0	0	0	0	0	0	0	0	3.95573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_sartorii	2.4034	1.71596	0.42714	2.64484	0	0	0	3.14884	0	0	1.62151	0	0	0	0	0	0.3885	0	0	0.15395	0	0	0.42689	0	3.74165	3.74153	8.55205	0	2.8714	0	0.98525	0	0	6.54255	0	0	0.23788	0	0	0	0	5.51372	0	0	6.77676	0	0	13.38307	0	3.92711	0	3.36625	0	0.12511	0	0	0	0	0	0	0	0	0	0	13.06702	0	0	0.11252	0	0	0	0	10.97704	0	0	0	0	0	0	0	0	0	4.71232	0	8.02101	0	0	3.73622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.30975	0	0	0	0.00335	0	0	0	0	0	0	0	0	0	0	0	0.84212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_stercorirosoris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.32814	0	0.50428	0	0	0	0	3.5516	0	0.08185	0	0	0	0	0	0	0	0	2.60823	0	0	0.94573	1.47067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13262	0	1.53281	0	0	0	0	0	0	0	0.54727	0	0	0	0	0	0	0	0	0	0	0	0.16778	0	0	0	0	0	0.1814	0	0	0	0	0	0	0	0	0	0	0	0.33519	0	0	3.52678	0	0	0	0	0	0	0	0	0	4.52959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.74347	0	0	0	3.8762	0	0	0	0	0	0	0	0	3.5955
Bacteroides_thetaiotaomicron	0.61602	0.51199	0.62341	2.27967	0	0	0.32899	0.73061	0	0	4.45794	2.46641	0.54811	0.54811	2.41687	0.26158	2.91329	0	0.05173	0.64339	0	0.1343	3.85073	0	1.04047	0.13614	1.09902	0	0.71692	2.05918	0.12303	0	1.13533	0.45767	1.51457	0	0.55269	0	0	0	0	0.85927	2.97945	0	0.69307	2.70214	1.8089	1.0832	1.79257	0.18605	0	0.15423	0.00179	9.23195	0	0	0	0	0	0	0	0	0	0	0	0	0	4.79974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20762	0	0	0	0	0	0	0	0	0	0	0	0.7286	0.70339	0	0	0	0	0	0	0	0	8.37266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_uniformis	3.90693	1.34568	1.42936	4.00509	5.12612	4.98971	1.92753	1.43978	1.19324	3.14111	9.25758	12.13979	2.8728	2.87278	15.00387	1.60703	2.18328	10.35238	0.8399	1.08997	2.95568	0.79509	9.40892	1.80476	1.66749	0.15897	0.46881	1.92331	0.27012	2.93542	0.06577	4.9313	2.98564	0.21521	6.285	3.41749	0.41101	24.28038	14.99211	1.57043	26.51986	0.35741	19.49937	7.00052	0.11591	1.52524	9.34311	0.5101	10.86542	0.6393	8.37392	0.47707	0.00068	5.28043	0	0	0	6.46809	0	2.24299	0	0	0.20155	0.00103	4.44287	0	1.11054	4.12839	0	0	0	0	0	0	0	0	0	0	0	2.40014	0	0	2.42637	0	3.96597	0	0	1.9352	0	0	0.00137	0	0	0	3.26629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.89658	12.55018	0	4.26602	20.9482	0	0.55475	1.14107	1.47192	0	0.04077	0	8.15205	4.71346	5.20353	0	0.75811	0	0	0	3.01824	0	2.44696	10.3743	0.01576	0	0	0	0	0	0	0	0	0	0	0	0	0	6.42326	0	0	0	0	0	0	2.08399	0.00154	4.3594	0	0	0	0.20378	0	10.56397	13.92732	20.73768	31.32044	15.75083	0.97425	8.32294	5.60471	8.18535	11.50195	25.5743	2.06313	9.0586	10.7027
Bacteroides_vulgatus	0.13722	0.0437	0.02124	0.05054	0	0	0	0.13755	9.77299	0	0.11966	0	0	0	0	0	0.00593	0	0	0.00843	0	0	0.01104	0	0.15348	0.1659	0.06532	0	0.05872	0	0.0343	0	0	0.08683	0	0	0.02651	0	0	0	0	0.13392	0	0	0.22078	0	0	0.12696	0	0.15494	0	0.16472	0.00441	9.82117	0	0	0	0	0	0	0	0	0.00428	0	1.74183	0	0	13.06267	0	0	0.00099	0	0.46004	0	0	0	0	0	0	0.00228	0	0	0.29569	0	13.58645	0	0	0.24229	0	0	0	0	0	0	0	0	0	0	0.00172	0	0	0.0162	0	0	0	0	0.00261	0	0	0	0	0	0	0	0	0	0	0	2.8208	0	11.9915	0	0	0	29.92828	0	0	0	0	0	0	0	26.56496	0	0	0	29.49487	0	0	0	0	0	0	0	0	0	0	0.00249	0	0	0	0	0	0.00117	0	0	0	8.48946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_xylanisolvens	0.22454	0.16191	0.10542	0.4502	0	0	0	0.05268	0	0	0.32793	0	0	0	0	0	0.30256	0	0	0.08059	0	0	0.59356	0	0.29557	0.02648	0.03723	0	0.06768	0	0.01863	0	0	0.03073	0	0	0.0315	0	0	0	0	0.06938	0	0	0.01661	0	0	0.02302	0	0.01462	0	0.01534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16432	0	0	0	0	0	0	0	0	0	0	0	0.23802	0.04893	0	0	0	0	0	0	0	0	0.12309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Muribaculaceae_bacterium_DSM_103720	0.05357	0.27378	0.04088	0.05968	17.18261	21.54582	3.46455	0.0571	1.4058	14.04207	0.05356	34.09047	5.74713	5.74709	19.25417	2.28513	0.00787	12.64238	1.07852	0.00067	28.10718	0.13627	0.01439	0.42032	0.03427	0.15071	0.06751	2.5996	0.22221	2.09925	0	43.61588	4.60377	0.00809	18.71313	7.3455	0.52916	11.33423	22.45909	6.79457	12.46402	0.00756	12.92039	21.35078	0.04373	17.97327	10.35842	0	20.81917	0.07811	16.669	0	8.28226	0.45525	6.73652	10.45727	4.6594	2.20416	4.31272	2.75215	3.62365	5.68906	13.46749	4.35295	0.6137	5.92247	2.69537	0.73012	7.6079	5.29463	9.55424	14.43355	14.2906	5.94915	5.98565	9.37983	4.67323	1.30196	4.17723	7.01941	5.33127	6.61806	0.74184	1.35667	0.53143	1.11003	2.75097	0.6049	1.48615	9.29952	0.34942	2.91619	1.34672	6.5602	2.28889	2.77708	0.46964	1.57535	9.29374	5.47567	5.00321	2.69921	9.87916	20.02519	4.45415	3.79393	2.81917	6.0098	5.90738	3.87268	7.91734	9.49982	3.0892	6.09054	16.59335	1.10311	13.73263	18.64551	2.82802	0.73595	6.85254	2.36148	5.13176	1.17401	0.00131	11.76239	19.05738	21.58594	3.13789	11.56904	17.49797	1.35046	12.07748	21.41836	6.84672	4.28493	0.35638	6.22496	11.93489	1.16273	2.52819	18.60678	0.48079	1.65835	6.1857	3.85187	3.18394	19.78606	3.69798	10.03328	1.49634	3.76135	6.81769	1.81782	8.10898	1.14659	0.40671	0.47128	3.0387	2.09171	7.18836	2.43289	0.05943	0.49137	0.17778	13.31838	5.51118	3.16587	6.57628	4.40739	13.49752	3.57755	3.2644	5.47186	12.29189	9.46115	0.93191	5.71796	0.96358
Muribaculum_intestinale	0	0	0	0	10.37203	9.31564	2.10477	0	1.5533	2.56793	0	7.54611	2.5464	2.54639	5.84512	1.52166	0	11.55186	0.00054	9.09754	20.53499	1.11076	0	1.34362	0	0	0	1.70814	0	1.61983	0	10.23168	2.05731	0	9.79446	10.40796	0.00834	8.3818	11.92376	0.39031	18.43513	0	2.34256	10.45101	0	4.30891	5.83272	0	4.54936	0	8.76545	0	9.83063	1.95541	15.90015	16.20031	4.3071	15.20546	8.48844	23.47867	10.47393	9.19499	11.33775	10.30113	7.95522	2.93408	7.89968	4.59431	7.02317	7.58721	15.77586	2.34476	12.77922	18.89511	34.09486	20.19166	15.20864	29.27588	22.12633	14.45277	8.89848	20.30613	3.85067	5.15662	0.03944	9.48033	7.52634	2.74992	9.08023	12.36281	0.00072	5.69341	0.01853	6.51698	9.24434	7.58003	13.09033	3.15239	14.20239	14.78192	13.14421	2.53249	19.00407	23.57358	12.74992	14.71873	14.12876	17.86774	13.95598	9.23854	28.20031	6.92442	33.30005	6.88689	8.94007	19.96613	13.96938	17.55195	2.71266	8.6194	2.41745	5.72599	2.05939	7.30195	0.21361	4.89569	8.75538	10.50418	30.56815	8.69033	6.15225	12.5218	15.84469	11.30436	21.67052	10.66344	9.94567	6.60953	6.52566	49.13306	18.9673	15.27529	16.66792	12.32759	7.179	9.91862	10.85423	13.7065	10.5059	12.69434	27.48473	36.71058	19.49091	12.98767	22.49248	5.23332	15.13068	0.60719	24.79303	9.44857	28.04429	23.54545	2.24348	4.17683	1.88545	11.31179	20.83543	40.90481	28.67617	20.59646	26.36107	4.72658	19.88533	20.93195	10.14756	27.03923	2.93354	27.1426	25.34316
Butyricimonas_synergistica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00127	0	0	0	0	0.00012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butyricimonas_virosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.88454	0	0	0	0	0	0	0	0	0	0	12.66034	0	0	0	0	0	0	0.01767	0	0	0	0	0	0.00872	0	0	0	0	0	0	0	0	0	0	3.75842	0	0	0	0	0	0	0	0	0	0	0	0	0	4.45251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.18822	0	2.51736	0	0	2.22646	0	0	0	14.29638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.27707	0	0	8.80826	2.9504	0	2.11287	6.69557	6.26553	0	0	0	1.81335	0	0	0	3.21042	0	0	0	7.83821	0	7.1134	0	3.63978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.72198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella_sp_MGM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5277	2.08178	0	1.62222	0	0.82645	0	1.68654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella_sp_MGM2	6.14833	3.87956	6.5238	3.41582	0	0	0	33.0463	0	0	15.91604	0	0	0	0	0	1.84107	0	0	1.65025	0	0	18.87824	0	1.83331	22.515	5.85277	0	6.12389	0	9.8704	0	0	34.62276	0	0	3.62634	0	0	0	0	53.63095	0	0	41.95211	0	0	52.31815	0	36.32162	0	17.40973	0	1.17556	0	0	0	0	0	0	0	0	0	0	0	0	0	9.81836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes_indistinctus	0.04225	0.05421	0.01453	0.0484	0	0	0	0.0855	0	0	0.1257	0	0	0	0	0	0.03169	0	0	0.00623	0	0	0.14168	0	0.01778	0.05175	0.20608	0	0.19715	0	0.02465	0	0	0.21595	0	0	0.09362	0	0	0	0	0.15665	0	0	0.18456	0	0	0.09249	0	0.14556	0	0.12462	0	0.18675	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30306	0	0	0.28789	0.40586	0	0	0.52619	0	0	0	0	0	0	0	0	0.08136	0	0	0	0	0	0.41777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes_shahii	0.2336	0.06189	0.10151	0.28327	0	0	0	0.09979	0	0	0.49915	0	0	0	0	0	0.02886	0	0.02635	0.13376	0	0	0.21967	0	0.70169	0.00457	0.01706	0	0.00318	0.00759	0.00475	0	0	0.04002	0	0	0.07589	0	0	0	0	0.00949	0	0	0.05955	0	0	0.02531	0	0.01754	0	0.045	0	0.00147	0	0	0	0	0	0	0	0	0	0	5.65713	0	0	0.00929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00543	0	0.00293	0	0	0.005	0	0	0.00869	0	0.00196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01078	0	0	0.01524	0.00698	0	0.01392	0.0217	0.01277	0	0	0	0.0009	0	0	0	0.0114	0	0	0	0.00364	0	0.01228	0	0.00841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes_timonensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64654	0	0	0	0	0	0	0	0	0	0	0.12142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04745	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22717	0	0.28185	0	0	0.18503	0	0	0.22019	0	0.10154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58591	0	0	0.40671	0.58414	0	0.25528	0.4678	0.33933	0	0	0	0.1393	0	0	0	0.2486	0	0	0	0.07744	0	0.33563	0	0.18617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides_distasonis	1.18833	0.9635	0.69684	1.53987	0	0	0	3.58244	0	0	2.96049	0	0	0	0	0	0.25486	0	0	2.8538	0	0	5.92032	0	0.07317	0.82109	3.30277	0	0.86589	0	0.04438	0	0	0.69279	0	0	0.53703	0	0	0	0	0.49637	0	0	1.37741	0	0	1.04859	0	1.59625	0	1.59838	0	0.16976	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.00694	0	0.1511	0.50759	0	0	0.95005	0	0	0	0	0	0.77467	2.8792	0	0	0	0	0	0	0	0.76707	8.43722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides_goldsteinii	0.09325	0.05991	0.13663	0.10301	1.26712	0.3901	2.47116	0.13726	4.12335	0.73085	0.06685	3.04539	0.47243	0.47242	1.26863	1.74912	0.04569	0.92034	0.17694	1.13213	1.26498	0.63811	0.09639	2.86247	0.03429	0.12118	0.60639	1.31669	0.43188	2.36858	0.03538	1.88625	0.64968	0.08639	1.14138	0.7233	0.07386	2.49646	3.06487	1.78163	4.79789	0.03884	3.91079	1.59444	0.08619	2.13803	1.54002	0.25127	1.57494	0.30305	2.84442	0.0162	1.51797	0.23872	5.00457	5.41107	2.11938	15.1319	3.78102	3.68768	2.23881	6.15298	6.21856	4.66399	0.25204	5.057	2.23689	0.14758	10.54617	5.5583	17.22603	43.89875	11.9225	12.62904	14.6704	5.30693	10.21598	12.44957	9.86337	9.04426	4.27068	15.9959	0.87949	5.94982	0.13803	7.8299	40.10323	0.71504	3.71886	13.73221	17.0303	11.58958	14.84225	9.78965	0.03343	5.76915	16.31954	2.66277	0.01119	5.74182	6.41898	2.51529	15.90484	13.24179	10.93551	7.03721	5.63336	5.21033	24.40872	5.60994	5.19315	7.82448	6.50879	6.44593	3.83443	1.50551	0.92507	3.52132	11.50647	0.61659	0.68046	2.13606	1.00893	17.39216	0.0926	6.61045	5.75852	3.5774	16.07193	2.73076	2.84743	27.60994	1.28699	6.05675	0.84144	7.95256	12.32143	11.735	1.55262	15.77903	1.38177	2.96712	6.24899	14.64064	2.45357	7.69222	4.27239	2.93385	12.82937	16.30127	11.84932	24.52424	12.62191	5.77927	14.25846	16.60102	7.58871	2.11215	11.16017	6.01523	23.76161	21.65701	1.87362	8.16075	7.07569	3.24195	3.24834	9.84082	1.24194	5.24791	3.06315	3.08497	1.21663	0.79686	2.80661	4.15336	1.15749	3.19154	4.10183
Parabacteroides_johnsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03557	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12752	0	0	0	0	0	0	0	0	0	0	0	0.09476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides_merdae	0.08377	0.07924	0.00974	0.07589	0	0	0	0.05573	0	0	0.02	0	0	0	0	0	0	0	7.21071	0.08933	0	0	0.01892	0	0.05036	0.01221	0	0	0.00045	0	0.00639	0	0	0.01637	0	0	0.0211	0	0	0	0	0.02188	0.01406	0	0.01479	0	0	0.05869	0	0.00722	0	0.03383	0	2.11808	0	0	0	0	0	0	0	0	0	0	4.74814	0	0	0.65639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capnocytophaga_leadbetteri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobacterium_faecium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobacterium_paucimobilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
