clade_name	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_22w	WT_M_14w	WT_M_22w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_22w	WT_M_14w	WT_M_14w	WT_M_22w	WT_M_14w	WT_M_14w	WT_M_22w	WT_M_14w	WT_M_22w	WT_M_14w	WT_F_14w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_14w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_14w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_14w	WT_F_14w	W_M_22w	W_M_22w	W_M_14w	W_M_14w	W_M_14w	W_M_22w	W_M_14w	W_M_22w	W_M_14w	W_M_14w	W_M_22w	W_M_14w	W_M_22w	W_M_14w	W_M_22w	W_M_22w	W_F_14w	W_F_14w	W_F_22w	W_F_14w	W_F_22w	W_F_14w	W_F_14w	W_F_22w	W_F_14w	W_F_22w	W_F_14w	W_F_22w	W_F_22w	W_F_14w	P_M_22w	P_M_14w	P_M_22w	P_M_14w	P_M_14w	P_M_22w	P_M_14w	P_M_14w	P_M_22w	P_M_22w	P_M_22w	P_M_14w	P_M_22w	P_M_14w	P_M_22w	P_F_22w	P_F_22w	P_F_14w	P_F_14w	P_F_22w	P_F_14w	P_F_14w	P_F_22w	P_F_14w	P_F_22w	P_F_14w	P_F_22w	P_F_14w	P_F_22w	P_F_22w	C_M_22w	C_M_22w	C_M_14w	C_M_22w	C_M_22w	C_M_14w	C_M_22w	C_M_22w	C_M_22w	C_M_22w	C_M_14w	C_M_22w	C_M_22w	C_M_14w	C_M_14w	C_M_14w	C_M_22w	C_M_22w	C_M_14w	C_M_22w	C_M_22w	C_M_14w	C_M_22w	C_M_22w	C_M_22w	C_F_22w	C_F_14w	C_F_22w	C_F_14w	C_F_22w	C_F_14w	C_F_14w	C_F_22w	C_F_14w	C_F_14w	C_F_22w	C_F_14w	C_F_22w	B_M_22w	B_M_14w	B_M_14w	B_M_22w	B_M_14w	B_M_22w	B_M_22w	B_M_22w	B_M_14w	B_M_22w	B_M_14w	B_M_14w	B_M_22w	B_M_14w	B_M_22w	B_F_22w	B_F_14w	B_F_22w	B_F_14w	B_F_22w	B_F_14w	B_F_22w	B_F_14w	B_F_14w	B_F_22w	B_F_14w	B_F_22w	B_F_14w	B_F_22w
Collinsella_massiliensis	0	0	0	0	0.019	0.01339	0.00393	0	0.00299	0.01068	0	0.01148	0.00862	0.00862	0.00865	0.00653	0	0.00325	0.00318	0	0.00464	0.00084	0	0.00363	0	0	0.00439	0.00453	0.00208	0.00966	0	0.00303	0.01069	0.00034	0.00297	0.00598	0.00687	0.0016	0.01151	0.00036	0.0039	0.00232	0.00533	0.00753	0	0.00317	0.01173	0	0.00905	0.00035	0.00277	0.00585	0	0	0.00223	0.00111	0.00873	0	0.00478	0	0.00504	0.00206	0	0.01031	0	0.00698	0	0	0.00216	0.00498	0	0.00061	0	0.00141	0.00279	0	0.00583	0	0.00608	0	0	0	0	0.00272	0	0.00412	0.00382	0	0.00302	0.00134	0	0	0	0.00263	0	0.00046	0	0	0	0.01202	0.01877	0	0.00053	0.00267	0	0.00518	0.00058	0	0	0.00343	0	0	0	0	0.00567	0	0.00034	0.0229	0.00501	0.00041	0	0	0.01908	0.00065	0.00076	0.00277	0.00755	0.0035	0.00193	0.00689	0	0	0.00121	0.0125	0	0.0002	0	0.00377	0.01011	0.00043	0.0246	0.00546	0.01086	0.01007	0.01324	0.00892	0.01412	0.00382	0.0079	0.00211	0.00098	0.00072	0.00206	0	0	0	0	0	0.00137	0	0.00302	0.00075	0.00192	0	0.00123	0	0.00109	0	0	0	0.00035	0	0	0.00068	0	0	0	0	0
Enorma_massiliensis	0	0	0	0	0.00437	0.00129	0.00053	0	0.00033	0.00509	0	0.0048	0.00779	0.00779	0.00303	0.00472	0	0.00132	0.00079	0	0.00132	0	0	0.00033	0	0	0.00046	0.00136	0	0	0	0	0.00367	0.00039	0.00046	0.00328	0.00375	0	0.00364	0	0.0004	0	0.00253	0.00312	0	0.00159	0.00379	0	0.00169	0	0.00024	0.00043	0	0	0	0	0.00127	0	0.00299	0	0.00231	0	0	0.00257	0	0.00078	0	0	0.0005	0.00177	0	0	0	0	0.0015	0	0.0019	0	0.0003	0	0	0	0	0.00027	0	0	0	0	0.0012	0	0	0	0	0.00084	0	0	0	0	0	0.00412	0.00385	0	0	0.00097	0	0.00255	0	0	0	0	0	0	0	0	0.00199	0	0	0.00829	0	0	0	0	0.00443	0.00035	0	0.00234	0	0	0	0.0005	0	0	0	0.00637	0	0	0	0	0.00397	0	0.006	0.0032	0	0	0.00654	0.00459	0.0038	0.0019	0.00117	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adlercreutzia_equolifaciens	0.00402	0	0.00339	0.0008	0.00734	0.00668	0.00131	0	0.00366	0.00113	0.00018	0.00188	0.0004	0.0004	0.00775	0.00141	0.00749	0.00759	0.00186	0	0.00402	0.00078	0	0.00288	0.00163	0.00049	0.02402	0.00318	0.00065	0.0042	0	0.00412	0.00204	0	0.00842	0.00325	0	0.00324	0.00426	0.00396	0.00436	0	0.00634	0.00706	0	0.00125	0.00436	0	0.00499	0	0.0029	0	0.00468	0.00365	0.01027	0.007	0.00318	0.01234	0.00567	0.02506	0.00296	0.00496	0.00469	0.00325	0.00723	0.00973	0.01302	0.00668	0.00331	0.0024	0	0.00611	0.0302	0.00086	0.00279	0	0.00226	0.00053	0.00541	0.00408	0	0.00597	0	0.00129	0.01463	0	0.0114	0	0.00576	0.00172	0.0117	0	0.02679	0.00039	0	0	0	0	0	0.00279	0.00352	0	0.00242	0.00188	0.00351	0.00178	0	0.00053	0	0	0.00575	0.00079	0.00213	0	0.00639	0.00542	0.00659	0.00729	0.0076	0.00198	0.00092	0.00175	0.00075	0.00108	0.0019	0.00291	0.00535	0.0028	0	0.00298	0.00337	0.00041	0.00439	0.00076	0.00692	0.00242	0.00258	0.00454	0.01167	0.00228	0.01204	0.00063	0.01184	0.00827	0.02417	0.0046	0.00434	0	0.00506	0	0.04304	0.00066	0.04544	0.02475	0.00111	0.00339	0.04103	0.00686	0.00368	0.00655	0.00439	0.00051	0.01436	0.04015	0.02184	0.0298	0.00184	0.01396	0.00185	0.25171	0.0042	0.02274	0.00027	0.00247	0.01123	0.00024	0.00697	0.00784	0.04732
Asaccharobacter_celatus	0.00457	0	0.00076	0	0.00631	0.00641	0.00138	0	0.00201	0.00089	0.00019	0.00117	0.0013	0.0013	0.00897	0.00229	0.00628	0.00774	0.00295	0	0.00681	0.00081	0	0.00229	0	0	0.0118	0.00388	0.00133	0.00776	0	0.00677	0.00258	0	0.01044	0.0042	0	0.00345	0.0055	0.00315	0.00703	0	0.00651	0.00817	0	0.00125	0.0051	0.00071	0.00318	0	0.00319	0.00015	0.00248	0.0024	0.00699	0.00605	0.00322	0.00595	0.00611	0.01382	0.00395	0.00508	0.00496	0.00315	0.00471	0.01349	0.00632	0.00449	0.00526	0.00239	0	0.00647	0.01429	0.00267	0.00261	0	0.00264	0.00088	0.00605	0	0	0.0088	0	0.00252	0.00557	0.00447	0.0085	0	0.0066	0.00067	0.00522	0	0.01658	0.00122	0.00064	0.00044	0	0.00017	0	0.00231	0.00321	0	0.00358	0.0018	0.00359	0.00216	0	0.00103	0.00297	0.00024	0.00402	0.00081	0.00099	0	0.0085	0.00146	0.006	0.00835	0.00443	0.00147	0	0.00342	0.00094	0.00113	0.00133	0.00395	0.00231	0.00454	0	0.00382	0.00463	0.00119	0.00517	0	0.00056	0.00143	0.00189	0.017	0.01444	0.00418	0.02008	0.0009	0.0129	0.00884	0.01826	0.00558	0.00543	0	0.00581	0	0.01725	0.00079	0.02841	0.00915	0.00178	0.00177	0.02185	0.00273	0.00401	0.00318	0.0042	0.00195	0.00443	0.0146	0.01158	0.01173	0.00072	0.00668	0.00165	0.0921	0.00544	0.00639	0	0.00282	0.00829	0	0.0039	0.00783	0.02727
Enterorhabdus_caecimuris	0.03148	0.01283	0.03887	0.00204	0.27188	0.23834	0.11373	0.09486	0.02893	0.05688	0.04308	0.19156	0.0528	0.0528	0.52823	0.15617	0.2363	0.6244	0.17631	0.05418	0.25617	0.09679	0.00357	0.05611	0.02214	0.0333	0.2197	0.16273	0.1755	0.35952	0.01002	0.42799	0.10003	0.01058	0.54057	0.21429	0.01967	0.17471	0.13789	0.1945	0.19049	0.0485	0.24741	0.40639	0.00643	0.08314	0.15433	0.13603	0.17372	0.0106	0.13319	0.02853	0.06929	0.04453	0.47686	0.20821	0.10956	0.09176	0.22761	0.20354	0.10003	0.22421	0.13817	0.11597	0.05419	0.40048	0.12222	0.04233	0.25013	0.16535	0.17739	0.12876	0.15608	0.12721	0.14559	0.08908	0.14284	0.1099	0.18934	0.05282	0.18821	0.73563	0.01873	0.05442	0.09458	0.09057	0.24434	0.02511	0.16796	0.13322	0.0228	0.06443	0.05004	0.08433	0.05987	0.08343	0.02949	0.06084	0.09201	0.08217	0.11349	0.04456	0.21763	0.09058	0.11164	0.12472	0.01032	0.16705	0.08792	0.10773	0.16058	0.10104	0.06003	0.07198	0.31326	0.05836	0.13162	0.44154	0.05325	0.10562	0.0561	0.19343	0.09336	0.06784	0.01691	0.16196	0.2807	0.26331	0.01405	0.13437	0.26394	0.11796	0.14802	0.09419	0.08629	0.21109	0.03701	0.6193	0.54929	0.19266	0.64856	0.06137	0.45165	0.49963	0.81719	0.19502	0.2132	0.03612	0.45145	0.14949	0.04575	0.03896	0.15634	0.04183	0.08375	0.01466	0.08663	0.00662	0.09852	0.03934	0.13196	0.07376	0.04822	0.00658	0.03819	0.07938	0.05207	0.16736	0.07741	0.08449	0.13192	0.04966	0.02975	0.10677	0.18647	0.06636	0.03211	0.21253	0.04177
Gordonibacter_pamelaeae	0	0	0	0	0	0.00021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00019	0	0	0.00036	0	0.0003	0.0002	0	0.00061	0	0.00228	0	0	0	0	0	0.00078	0	0	0	0	0	0	0.00124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00039	0	0	0	0	0	0.00055	0	0	0	0	0	0	0	0	0	0	0	0.00072	0	0	0.00035	0	0	0	0.0002	0
Bacteroides_caecimuris	1.14238	1.12182	0.53669	2.03533	0	0	0	1.15336	0.69125	0	1.28069	0	0	0	0	0.00395	0.18543	0	0.03324	0.70318	0	0	0.8599	0.10629	1.77789	0.76321	0.91737	0	0.34985	0	0.28076	0	0	0.3509	0	0	0.94064	0	0	0	0.00399	0.54088	0.00351	0	0.39251	0	0	1.52642	0.04043	0.98684	0	1.68746	0.41918	0.30705	0	0	0	0	0	0	0	0	1.12563	0	5.66781	0	0	0.84237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4805	0	0.38992	0	0	0.41574	0	1.15145	2.0081	1.34639	1.17447	0	0	0	0	0	1.3757	0	0	0.00432	0	0	0	0	0.07621	0	0.00032	0	0	0	0.64047	0	0	0.13597	0.17315	0	1.16453	0.24172	0.12209	0.37929	0	0	0.00435	0	0	0	0.69603	0	0	1.21292	0.75144	0	0.50903	0	0.08505	1.98622	0	0.23291	0.79481	0	0.4108	0.80499	2.31093	0	0	0.00028	0	0.6494	0	0	0	0.0028	0	0	0.40348	0	0	0.88407	0	0	0	2.1151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_dorei	0	0.16755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04137	0	0	0.022	0	0	0	0	0.45879	0	0.82808	0	0	0	0.12436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55109	0	0	0	0.32176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_faecichinchillae	0.32403	0.1424	0.0592	0.28901	0	0	0	0.04792	0	0	0.09673	0	0	0	0	0	0	0	0	0	0	0	0.02668	0	0.22398	0.03139	0.0964	0	0.24862	0	0.03505	0	0	0.10355	0	0	0.07081	0	0	0	0	0.10851	0	0	0.13704	0	0	0.07302	0	0.04656	0	0.12651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09485	0	0	0	2.04901	0	2.2127	0	0	0	0	0	0	0.63745	0.00436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06967	0	4.57793	0	0	0.04412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.84683	0	0	0.52762	0.11911	0	0.0301	0.4899	0.28441	0	0	0	0.10819	0	0	0	0.16032	0	0	0	0.39265	0	1.74125	0	0.26539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40106	0.83621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
