clade_name	WT_M_14w	WT_M_14w	WT_M_22w	WT_M_22w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_22w	WT_M_14w	WT_M_22w	WT_M_14w	WT_M_22w	WT_F_22w	WT_F_22w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_14w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_14w	WT_F_22w	WT_F_22w	WT_F_14w	W_M_22w	W_M_22w	W_M_14w	W_M_14w	W_M_14w	W_M_22w	W_M_14w	W_M_22w	W_M_14w	W_M_14w	W_M_22w	W_M_14w	W_M_22w	W_M_14w	W_M_22w	W_M_22w	W_F_14w	W_F_14w	W_F_22w	W_F_14w	W_F_22w	W_F_14w	W_F_14w	W_F_22w	W_F_14w	W_F_22w	W_F_14w	W_F_22w	W_F_22w	W_F_14w	P_M_22w	P_M_14w	P_M_22w	P_M_14w	P_M_14w	P_M_22w	P_M_14w	P_M_14w	P_M_22w	P_M_22w	P_M_22w	P_M_14w	P_M_22w	P_M_14w	P_M_22w	P_F_22w	P_F_22w	P_F_14w	P_F_22w	P_F_14w	P_F_14w	P_F_14w	P_F_22w	P_F_14w	P_F_22w	P_F_22w	P_F_14w	P_F_14w	P_F_22w	P_F_22w	C_M_22w	C_M_14w	C_M_14w	C_M_22w	C_M_22w	C_M_14w	C_M_22w	C_M_14w	C_M_14w	C_M_14w	C_M_22w	C_M_14w	C_M_22w	C_M_14w	C_M_22w	C_F_22w	C_F_14w	C_F_22w	C_F_22w	C_F_14w	C_F_14w	C_F_14w	C_F_22w	C_F_14w	C_F_14w	C_F_22w	C_F_14w	C_F_22w	B_M_22w	B_M_14w	B_M_14w	B_M_22w	B_M_14w	B_M_22w	B_M_22w	B_M_22w	B_M_14w	B_M_22w	B_M_14w	B_M_14w	B_M_22w	B_M_14w	B_M_22w	B_F_22w	B_F_14w	B_F_22w	B_F_22w	B_F_14w	B_F_14w	B_F_22w	B_F_14w	B_F_14w	B_F_22w	B_F_14w	B_F_22w	B_F_14w	B_F_22w
Enorma_massiliensis	534	282	138	134	957	362	1257	1257	233	1093	56	136	121	0	283	0	0	877	61	0	634	0	63	359	303	265	1066	114	58	0	0	0	0	214	0	577	0	366	0	0	386	0	128	0	0	62	303	0	0	0	0	192	0	449	0	71	0	0	0	0	64	0	0	0	0	199	0	0	0	0	134	0	0	0	0	0	665	0	740	0	176	0	321	0	0	0	0	0	0	0	337	517	0	0	627	0	255	0	0	139	0	0	558	0	0	193	0	657	256	0	0	391	664	599	359	65	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adlercreutzia_equolifaciens	1145	1862	437	1884	271	181	82	82	762	417	411	412	473	161	842	298	395	624	1462	362	948	674	882	1147	875	266	1568	431	891	602	1035	1027	1076	681	1248	1397	2780	601	739	457	623	995	2049	2247	2263	529	523	0	1126	2824	105	455	0	683	132	1622	247	0	881	0	389	3312	0	1012	0	1221	218	2009	0	5945	80	0	0	0	0	0	576	0	864	263	436	416	286	0	0	29	0	904	109	2199	1378	580	272	505	135	426	407	440	235	1067	354	779	85	683	136	726	596	166	656	990	376	1850	850	873	0	362	0	7297	159	9955	4532	136	980	8105	2095	783	928	571	80	2124	10112	6019	2079	287	1615	22844	307	662	1171	56	414	988	27	690	1136	5409
Asaccharobacter_celatus	920	1670	431	968	199	105	250	250	824	632	391	608	747	157	960	514	607	736	1693	359	1143	501	1329	1100	946	248	1713	256	915	298	634	653	868	645	562	1406	1431	748	708	452	564	605	2655	1019	1420	783	488	0	1113	1248	306	398	0	745	206	1693	0	0	1213	0	709	1176	535	704	0	1307	79	837	0	3436	232	101	52	0	26	0	444	0	735	364	390	396	325	0	275	53	27	589	103	1870	1714	621	188	922	157	278	515	177	355	1274	455	855	0	376	475	839	1021	221	1022	1007	375	1305	962	1021	0	388	0	2731	178	5812	1565	204	478	4032	777	797	421	511	284	611	3433	2979	764	105	722	7805	256	801	307	0	441	680	0	360	1059	2910
Enterorhabdus_caecimuris	38982	61052	34957	13702	12559	16998	10002	10002	47755	42421	31073	35854	27673	18425	39587	23450	37816	28079	86224	17943	28186	30414	35443	41118	46279	16311	50981	13800	37591	8200	11593	43817	29394	21586	8524	51512	20738	18632	30716	12391	20431	6851	77540	19377	13178	36691	33213	11934	21795	13411	14341	21831	13758	39731	25461	52118	2945	9869	99755	5565	15071	19669	10674	19934	9434	32730	15505	3597	9966	10201	15869	9326	9777	7318	9181	3004	15576	5594	25595	21796	19276	12141	18469	1941	8042	8549	12044	23197	12794	40322	62128	32324	13356	51347	15499	3480	20813	21220	20298	44150	25531	24087	9686	54695	17033	31406	46342	14788	32497	34707	20886	57465	33100	39448	7993	29730	11148	7124	8685	31460	7036	9466	3890	15721	1855	19259	5123	15792	10601	6553	1521	9667	5088	7467	17793	7043	11826	19110	2351	5716	16448	15071	6929	2919	28295	4385
Gordonibacter_pamelaeae	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	99	0	67	32	0	130	0	539	0	0	0	0	0	161	0	0	0	0	0	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	128	0	0	65	0	0	0	32	0
Bacteroides_caecimuris	0	0	0	568420	0	0	0	0	0	1861	0	11734	0	0	0	0	0	0	0	0	0	0	1288	1012	0	0	0	5575	0	86131	138787	0	0	0	0	0	0	0	0	175255	0	1244039	0	0	455305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247896	0	140776	0	0	271176	0	232668	550107	361580	415724	0	0	0	0	0	77995	0	940	0	0	0	0	0	24891	51	0	0	0	0	92094	0	0	53071	174799	0	1553	0	0	0	0	0	212534	0	0	94839	0	97267	0	69140	54805	58423	282128	0	0	107	0	84075	0	0	0	818	0	0	127116	0	0	199887	0	0	0	849625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_dorei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53837	0	0	0	414986	0	491492	0	0	0	0	0	0	220324	2956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45135	0	2075415	0	0	36132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79545	0	0	135060	0	0	48556	0	0	0	0	0	139451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158662	511318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245808	485286	0	0	0	0	0	0	0	0	0	0	0	0	0	730740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	640874	0	401432	0	0	653374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33170	0	0	300308	0	0	0	0	0	0	0	0	1102957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_ovatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232496	77458	0	0	0	0	0	2464982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
