"kingdom","phylum","class","order","family","genus","species","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemanella","uncultured bacterium",0,12,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,45,0,0,0,12
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Others",0,0,0,0,0,0,0,0,0,0,3,0,2,0,8,2,0,28,0,0,0,3,15,0,22,0,0,0,3,5
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Others","Others",0,2,0,1,0,1,0,0,0,0,15,0,2,0,0,1,0,2,0,2,0,1,3,0,1,2,0,0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae","Butyricimonas","uncultured bacterium",30,81,3,0,0,0,10,0,0,0,18,6,0,2,1,49,0,1,0,0,0,0,0,0,5,0,0,0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Others","Others",0,4,11,4,0,0,14,0,3,0,8,4,1,3,10,2,0,14,4,3,0,15,4,1,14,4,1,2,17,11
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","uncultured","Others",0,0,0,0,0,0,21,0,1,0,0,0,3,4,0,2,0,0,0,9,0,8,20,3,2,6,34,0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus 2","uncultured bacterium",0,1,29,0,4,326,790,258,232,0,2,0,177,18,371,410,0,1,120,1,786,22,2,313,0,14,0,619,2,22
"Bacteria","Firmicutes","Clostridia","Clostridiales","Family XIII","Family XIII UCG-001","uncultured bacterium",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,11,0,1,22,0,0,0,15
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus","uncultured bacterium",0,0,2,0,0,0,1,9,0,1,17,1,1,0,1,1,0,4,1,1,0,0,1,0,1,0,0,3,0,0
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae","DNF00809","uncultured bacterium",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Others",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","uncultured","uncultured bacterium",0,0,0,0,2,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Others",0,0,0,0,0,0,0,7,1,0,1,0,2,1,1,0,0,1,1,6,4,1,3,13,2,4,5,6,7,2
"Bacteria","Firmicutes","Clostridia","Clostridiales","Family XIII","Family XIII AD3011 group","uncultured bacterium",0,1,0,0,0,6,1,0,1,2,1,28,3,0,4,0,0,2,3,7,0,0,19,0,13,11,7,1,4,6
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-010","uncultured bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria","Firmicutes","Bacilli","Bacillales","Family XII","Exiguobacterium","Others",0,0,0,0,0,1,1,7,2,2,2,2,4,1,0,0,0,3,5,6,4,3,2,8,2,3,7,1,3,3
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uncultured bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum","uncultured bacterium",0,36,0,2,107,94,385,5,60,1,15,2,67,4,296,310,4,36,2,225,0,21,369,112,318,144,112,0,69,121
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Others","Others",0,0,0,1,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,22,7,1,0,801,0,0,2,8,5,25
"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium","uncultured bacterium",0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus","uncultured bacterium",5,1,0,0,0,8,4,0,1,0,6,2,1,4,0,1,0,6,0,7,0,1,7,0,1,0,0,3,1,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Peptococcus","Others",0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriales Incertae Sedis","uncultured","Others",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,7,0,4,7,0,0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","Others",0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","GCA-900066575","uncultured bacterium",0,0,1,0,0,2,2,0,0,0,0,2,9,1,7,1,0,0,0,4,0,3,0,1,1,3,0,0,27,2
"Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallaceae","Victivallis","uncultured bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenellaceae R-7 group","Others",0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Negativibacillus","uncultured bacterium",0,0,13,0,0,1,0,0,1,0,7,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Others",2,2,1064,0,0,0,287,1,2,1,283,0,0,1,21,2104,0,183,0,0,1,2,23,0,123,59,0,0,1,19
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","uncultured","Others",0,0,0,1,0,0,1,0,0,2,0,0,6,0,0,1,0,0,0,1,0,1,4,0,0,3,0,0,5,1
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus 1","Others",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
