	WT_14w	WT_22w	C_14w	C_22w	B_14w	B_22w	W_14w	W_22w	P_14w	P_22w
Akkermansia_muciniphila	10.0226386842105	11.4453192857143	3.29580066666667	7.21035304347826	8.09935	8.93263266666667	8.13628375	9.11784785714286	20.3787357142857	19.825974375
Turicimonas_muris	4.78502447368421	4.61258285714286	12.04101	9.27946739130435	9.74080714285714	5.912036	8.941555	5.62879071428571	12.07386	7.686936875
Bacteroides_uniformis	5.07332447368421	4.33626714285714	0.663850666666667	3.06931043478261	6.77502071428571	6.16732333333333	6.4375e-05	1.87683428571429	0	0.7247
Lactobacillus_johnsonii	0.319135526315789	5.38341571428571	0.18254	1.9830352173913	3.08280714285714	3.56102466666667	7.864130625	2.68004928571429	1.21657357142857	1.267116875
Lactobacillus_murinus	1.89679157894737	1.53044071428571	1.24655266666667	0.571928695652174	0.213118571428571	0.368685333333333	7.560471875	0.272955714285714	0.322170714285714	0.925380625
Bifidobacterium_pseudolongum	0.373769473684211	2.91362428571429	0.897639333333333	0.420093043478261	1.088785	0.735996666666667	3.24424125	1.31857428571429	1.90892642857143	1.711370625
Escherichia_coli	0.0793302631578947	0.0379257142857143	0.0144793333333333	3.78189347826087	0.802764285714286	2.44172866666667	0.015404375	2.77264428571429	0.113807142857143	3.086151875
Lactobacillus_reuteri	0.0333802631578947	0.622888571428571	0.00385466666666667	0.263164782608696	0.08823	0.534292666666667	0.159719375	0.587403571428571	0.0404064285714286	0.07323125
Clostridium_innocuum	0.0107365789473684	0	0	0.00080304347826087	0	0	0.001453125	0	0	0
