clade_name	WT_M_3_1	WT_M_3_2	WT_M_3_3	WT_M_3_4	WT_M_3_5	WT_M_1_1	WT_M_1_2	WT_M_1_3	WT_M_1_4	WT_F_3_1	WT_F_3_2	WT_F_3_3	WT_F_3_4	WT_F_3_5	WT_F_3_6	WT_F_1_1	WT_F_1_2	WT_F_1_3	WT_F_1_4	WT_F_1_5	WT_F_3_7	W_M_3_8	W_M_3_7	W_M_3_6	W_M_3_5	W_M_3_4	W_M_3_3	W_M_3_2	W_M_3_1	W_M_1_8	W_M_1_7	W_M_1_6	W_M_1_5	W_M_1_4	W_M_1_3	W_M_1_2	W_M_1_1	W_F_3_8	W_F_3_7	W_F_3_6	W_F_3_5	W_F_3_4	W_F_3_3	W_F_3_2	W_F_3_1	W_F_1_8	W_F_1_6	W_F_1_5	W_F_1_4	W_F_1_3	W_F_1_2	W_F_1_1	P_M_3_8	P_M_3_7	P_M_3_6	P_M_3_5	P_M_3_4	P_M_3_3	P_M_3_2	P_M_3_1	P_M_1_8	P_M_1_7	P_M_1_6	P_M_1_5	P_M_1_4	P_M_1_3	P_M_1_2	P_M_1_1	P_F_3_8	P_F_3_7	P_F_3_6	P_F_3_5	P_F_3_4	P_F_3_3	P_F_3_2	P_F_1_7	P_F_1_6	P_F_1_5	P_F_1_4	P_F_1_3	P_F_1_2	P_F_1_1	C_M_1_1	C_M_1_2	C_M_1_3	C_M_1_4	C_M_1_5	C_M_1_6	C_M_1_7	C_M_1_8	C_M_1_9	C_M_1_10	C_M_1_11	C_M_1_12	C_F_1_1	C_F_1_2	C_F_1_3	C_F_1_4	C_F_1_5	C_F_1_6	C_F_1_7	C_F_1_8	C_F_1_9	C_F_1_10	C_F_1_11	C_F_1_12	C_F_1_13	C_F_1_14	B_M_3_1	B_M_3_2	B_M_3_3	B_M_3_4	B_M_3_5	B_M_1_1	B_M_1_2	B_M_1_3	B_M_1_4	B_M_1_5	B_M_1_6	B_M_1_7	B_M_1_8	B_M_1_9	B_M_1_10	B_M_1_11	B_M_1_12	B_F_3_1	B_F_3_2	B_F_3_3	B_F_3_4	B_F_3_5	B_F_3_6	B_F_3_7	B_F_3_8	B_F_1_1	B_F_1_2	B_F_1_3	B_F_1_4	B_F_1_5	B_F_1_6	B_F_1_7	B_F_1_8	B_F_1_9	B_F_1_10	B_F_1_11	C_M_3_1	C_M_3_2	C_M_3_3	C_M_3_4	C_M_3_5	C_M_3_6	C_M_3_7	C_M_3_8	C_F_3_1	C_F_3_2	C_F_3_3	C_F_3_4	C_F_3_5	C_F_3_6	C_F_3_7	C_F_3_8
Clostridium_sp_ASF502	97301	0	194187	13302	92233	602	2689	1114	19345	2240	29477	66515	65172	7049	2551	0	1098	118	1280	119	3962	0	0	0	125	84207	1563	0	1754	672	10833	14303	3708	0	1402	0	17410	10219	476	971	3688	252	1823	241	3446	246	635	3574	14903	2083	3851	122	13453	249	5935	10737	17498	3692	7486	0	9060	8384	2208	0	0	1895	34926	0	2632	10736	0	0	5432	2424	1464	3933	4667	6843	0	951	1823	6720	24722	12733	0	0	15166	11540	3397	28275	0	610	25914	6829	2508	380	747	23522	727	0	25906	2586	0	0	241	717	1463	2071	43381	64840	20031	2292	1957	47664	24072	12784	69988	21239	17184	123327	16361	83333	37692	29500	2490	16854	14696	50744	11443	12905	14777	11423	70653	57254	29830	8765	20172	65073	114450	110105	23584	4571	47508	9225	3649	3574	0	47209	5786	41245	32470	16745	122	16300	9793	13842	0	8599	5871	23719
Hungatella_hathewayi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerofustis_stercorihominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eubacterium_sp_14_2	3163	0	6087	8409	11670	2292	5786	4843	3356	2474	65722	6452	166538	1050	754	99	1595	0	148	0	0	0	0	656	0	0	0	0	1820	0	0	6826	1607	0	0	1958	852	0	1095	0	0	1578	2188	1884	2248	0	10542	0	0	0	0	0	32910	0	302	0	940	0	0	0	170134	0	0	0	0	0	7612	1984	0	6701	635	1761	3948	61084	0	6355	4917	2206	7246	2071	0	256851	0	1935	0	1928	0	0	0	1683	0	0	0	0	0	0	0	489	0	0	0	0	0	0	0	0	0	0	951	0	0	0	0	0	1777	0	0	0	0	549	0	0	0	0	0	0	0	0	0	0	886	0	0	0	0	341	1715	5694	151	201	0	505	0	4582	0	0	0	678	0	0	0	147	0	0	0	0	451	0	0	0
Acetatifactor_muris	22187	3005	33438	19057	11138	5040	34081	28035	13970	2391	19639	5604	127718	833	4360	5222	2201	8323	37317	2784	166	0	0	0	13296	24717	1629	2610	2242	0	5890	11301	1595	0	1250	4683	80668	28971	13654	4668	40310	177	38883	321	2354	0	0	0	667	0	0	1569	38802	1991	2701	3605	28077	5023	16634	0	10542	0	0	0	0	427	16588	2349	349	3917	83	0	82	0	252	4320	18374	7312	5184	726	0	9513	0	5261	0	0	13067	0	0	9647	0	0	184	0	5675	0	1917	11998	0	0	11698	15452	13155	11277	252	0	0	86	7641	13782	625	0	0	171	0	16765	19494	6244	0	28492	0	8681	0	2418	0	158	1326	15078	1360	13460	338	2398	31185	1726	20340	40180	0	4008	8395	7534	422	0	894	0	0	3639	425	1475	0	860	16294	12072	6518	558	11989	24653	6450	10549	0	2651
Blautia_coccoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dorea_sp_5_2	487591	27340	660240	692855	425682	31291	83872	61104	37139	291552	1667731	392754	1116303	325429	219327	3742	17893	194088	152370	34169	479219	17454	3911	7931	78703	203502	7584	29611	54585	78295	20049	275409	25514	23275	20796	50146	211358	37762	71845	44298	65344	34977	52332	26136	48096	15639	10364	9769	176596	51850	59507	122581	68237	39321	34608	178834	71611	57031	32184	32833	76011	38250	26967	16942	0	36959	836789	5224	18564	108104	13478	9329	23106	41668	55874	24511	142609	80537	11391	115023	46116	44299	104464	168127	12586	2616	125446	304227	76939	217863	215023	26416	36818	117984	219056	38714	189426	263915	12663	34749	311310	168390	91091	74085	47603	64314	19542	16793	42805	165005	18341	20787	14143	106723	39507	196495	348066	247050	68646	390165	45633	260130	202898	105577	11853	60784	47607	160959	130350	181828	80966	22502	279537	436017	444488	599643	91856	286997	384530	313404	224783	35673	368278	142846	8062	3876	9742	173028	37834	260371	296911	64537	47621	96169	124746	54165	19270	41824	4819	26339
Clostridium_aldenense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1374	0	0	0	0	0	0	0	0	0	0	0	0	0	428	0	0	0	0	0	0	0	0	0	0	0	0	0	409	0	0	0	0	0	434	0	0	1721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_bolteae	212	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_symbiosum	0	3649	0	0	0	0	0	0	0	6988	0	836	4810	571	3430	0	0	0	0	0	3938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
